stream,variant,method_label,block,factor,level,seed_index,seed,bias_ratio_coldstart,bias_ratio_warm,block_rate,budget_rmse,calib_w_explore_final,calib_w_ledger_final,calib_w_review_final,cohort_gap_days_mean,concept_dollars_allowed,concept_for,cost_per_1k,covariate_dollars_allowed,covariate_for,coverage_max_dev,coverage_mean_abs_dev,coverage_mean_dev,ess_mean,ess_median,ess_p05,exh_flag_balanced_acc,exh_flag_fn,exh_flag_fp,exh_flag_n_scored,exh_flag_precision,exh_flag_recall,exh_flag_specificity,exh_flag_tn,exh_flag_tp,exh_oracle_infeasible_rate,explore_rate,flag_balanced_acc,flag_delay_concept,flag_delay_covariate,flag_delay_prior,flag_false_infeasible_rate,flag_fn,flag_fp,flag_missed_infeasible_rate,flag_n_scored,flag_precision,flag_recall,flag_specificity,flag_tn,flag_tp,flag_undetermined,for_overall,for_ratio_to_alpha,frac_blocks_demand_over_budget,frac_blocks_over_alpha,fraud_dollars_allowed,fraud_dollars_total,gap_decay_mean,gap_decay_p90,gap_decay_rel,gap_overlap_mean,gap_overlap_p90,gap_overlap_rel,infeasible_rate,lag_ratio_warm,mean_estimate_warm,mean_realised_warm,mean_true_warm,mono_violation_mean,n_eval,n_explore,n_pos_eval,n_updates_warm,oracle_agreement,oracle_infeasible_rate,overflow_rate,pd_brier_mean,pd_clip_share_mean,pd_mae_mean,post_concept_max_dev,post_concept_mean_dev,post_concept_recovery_days,post_covariate_max_dev,post_covariate_mean_dev,post_covariate_recovery_days,post_prior_max_dev,post_prior_mean_dev,post_prior_recovery_days,prior_dollars_allowed,prior_for,quiet_dev,quiet_dollars_allowed,quiet_for,r_overlap_mean,r_trail_mean,ratio_realised_over_estimate,review_demand_max_block,review_demand_overshoot,review_demand_rate,review_served_rate,risk_when_flagged,risk_when_not_flagged,trim_fraud_share_mean,trim_share_mean,update_us_p50,update_us_p99,w_max_norm_mean,w_top1_share_mean
ulb,M4,ACI-BUDGET-CRC,methods,,,10,101,0.31067961849740217,0.4117435727033382,0.06052333593743142,0.003357398381754139,0.0,0.8618472184166874,0.13815278158331243,,43093.60979528436,0.001965379091390128,618.7194040314537,1065.517292733981,0.00026657780739753413,0.026186768123962367,0.0010103710965958114,-0.00010520925145292297,11612.753582803594,17809.528884847095,336.7769621453055,0.7112181371440631,8.0,389.0,911.0,0.30905861456483125,0.9560439560439561,0.4663923182441701,340.0,174.0,0.19978046103183314,0.0,0.7052882602715148,0.0,0.0,0.0,0.5350756533700137,10.0,389.0,0.05434782608695652,911.0,0.30905861456483125,0.9456521739130435,0.4649243466299862,338.0,174.0,0.0,0.0008002476957153405,0.8604813932423016,0.48672566371681414,0.24778761061946902,74671.25420983578,141093.68281540315,3.461608633347576e-05,9.273990423038078e-05,0.043832845052091236,,,,0.6180021953896817,4.244296934581597,0.001863581525443196,0.003256724226940042,0.0007673177153099185,0.8660250947655823,227846.0,0.0,490.0,195.0,0.9978046103183315,0.20197585071350166,0.003274141305969822,,,,0.0002457789535567313,0.000232272015549187,70.33256753720082,8.57440325038089e-05,-0.0004221279837480956,18.13771953540305,0.026186768123962367,0.01048917138374582,32.959306159280345,19375.030199989247,0.0036815236599253877,-0.00068016880486158,11137.096921828179,0.00024983119513841996,,,1.633313740894375,0.0385,0.0013609192173661168,0.021360919217366117,0.018086777911396294,0.000785575690064183,0.00029746709780402035,0.0,0.0,26.619500014930964,32.153349992586286,0.0007600709980719202,0.013514330737742447
ulb,M4,ACI-BUDGET-CRC,methods,,,11,103,0.3053898158372607,0.41173823509738117,0.053948719749304354,0.002657432389103224,0.0,0.8684152667702623,0.1315847332297377,,43350.68588289446,0.0026473955352032054,578.0419300153403,1247.5456218601335,0.0002673082063619353,0.029237597765363128,0.0011363577448370832,-3.9485967466893496e-05,11691.716366319091,18060.797769717796,323.77567571355166,0.838316567312469,5.0,203.0,911.0,0.5365296803652968,0.9791666666666666,0.6974664679582713,468.0,235.0,0.26344676180021953,0.0,0.8435923249319863,0.0,0.0,0.0,0.289193302891933,6.0,190.0,0.023622047244094488,911.0,0.5662100456621004,0.9763779527559056,0.710806697108067,467.0,248.0,0.0,0.0008706720736664285,0.9362065308241166,0.5132743362831859,0.25663716814159293,71595.86987502773,134362.52650205954,4.265067955779412e-05,0.00013073806807619944,0.053387980498887246,,,,0.4807903402854007,4.214239731910947,0.0020587325050547365,0.003572237765628616,0.0008476588881688475,0.945320592685923,227846.0,0.0,499.0,196.0,0.9846322722283205,0.278814489571899,0.0036603670900520525,,,,-0.00038828819068255696,-0.00039290341376513365,74.27447887333835,9.040816326530616e-05,-0.0001646938775510204,18.13771953540305,0.029237597765363128,0.010779062881288782,40.843128831555475,17221.341997577758,0.003560126582278481,-0.0007005663636793058,9776.296372695371,0.00022943363632069424,,,1.652810879682323,0.0445,0.00219481579663457,0.02219481579663457,0.018534448706582517,0.00100495618622122,0.0003070908197333261,0.0,0.0,26.936499984003603,29.75395523244515,0.0007697584648467051,0.01348622958195757
ulb,M4,ACI-BUDGET-CRC,methods,,,12,107,0.33645796771996517,0.4951237190008501,0.05065702272587625,0.002789836167359647,0.0,0.8644474670074523,0.1355525329925477,,33925.08264642977,0.0024114912801873273,500.52419642694093,223.93628990846744,0.00013345789403443215,0.018861094007696536,0.0010803351089441696,-9.269685484019588e-05,11598.489594507377,17951.524784707093,306.9581486579863,0.7769477670530642,3.0,315.0,911.0,0.3558282208588957,0.9830508474576272,0.5708446866485014,419.0,174.0,0.1942919868276619,0.0,0.7773847663135951,0.0,0.0,0.0,0.42837653478854026,3.0,314.0,0.016853932584269662,911.0,0.35787321063394684,0.9831460674157303,0.5716234652114598,419.0,175.0,0.0,0.0008297424969591823,0.8921962332894433,0.5221238938053098,0.24778761061946902,56079.60006493711,143888.92026520352,3.8129683629340894e-05,0.00011072930999528674,0.05045640758016124,,,,0.5367727771679474,4.431201389474768,0.0015645071047780499,0.0034325174980285042,0.0007746245761209607,0.9535374205753993,227846.0,0.0,487.0,186.0,0.9989023051591658,0.19538968166849616,0.003230252012324114,,,,0.0007833066818960593,0.00021836862682900974,70.33256753720082,-0.00042418310571573094,-0.0006770915528578655,10.253896863127864,0.018861094007696536,0.008988712286939503,40.843128831555475,14208.34161396797,0.0033980104402639615,-0.0006870997712689513,7722.239514630895,0.00024290022873104872,,,1.9754890193609196,0.0435,0.001619866049875792,0.021619866049875792,0.01838961403755168,0.0008620661847216174,0.00037515253929910246,0.0,0.0,26.63266396848485,30.607936810702082,0.0007873173263267862,0.013479149650760401
ulb,M4,ACI-BUDGET-CRC,methods,,,13,109,0.29411936077629874,0.45624026060837986,0.06471476348059654,0.0023900605390933037,0.0,0.8630663005895245,0.1369336994104756,,50754.64013184879,0.002542841348811498,673.0209352463388,370.4655000389771,0.0002674511901577962,0.027159887640449437,0.0011772615551912384,1.517386751863462e-05,11549.586287527349,17065.48152012849,327.5971280051787,0.7583812454449753,6.0,318.0,911.0,0.3931297709923664,0.9716981132075472,0.5450643776824035,381.0,206.0,0.2327113062568606,0.0,0.770027845543481,0.0,0.0,0.0,0.4311377245508982,7.0,288.0,0.02880658436213992,911.0,0.45038167938931295,0.9711934156378601,0.5688622754491018,380.0,236.0,0.0,0.0009242940883491054,0.9938646111280702,0.5929203539823009,0.25663716814159293,82686.51429905201,144799.1105672614,4.600292236071432e-05,0.00012314402542484216,0.053716469164946455,,,,0.575192096597146,3.9436532756994263,0.0020263187593832313,0.0036458609137665077,0.0009244881988566543,0.9571995017731527,227846.0,0.0,508.0,204.0,0.9659714599341384,0.2667398463227223,0.0055081063525363625,,,,0.0026579036391594056,0.0014426555232834063,70.33256753720082,9.040816326530616e-05,-0.00041979591836734695,18.13771953540305,0.027159887640449437,0.012909063810778854,40.843128831555475,20862.923920647336,0.004288421262591004,-0.0006981760225823828,10698.484746516899,0.00023182397741761725,,,1.718970372457269,0.0525,0.004349780114638834,0.024349780114638835,0.01884167376210247,0.0009686981423255796,0.0002970143843483147,0.0,0.0,26.938836032059044,29.53000037232414,0.0007566754707498638,0.013485400332947046
ulb,M4,ACI-BUDGET-CRC,methods,,,14,113,0.30039924259169815,0.40494227863671445,0.06794062656355608,0.002537767815763622,0.0,0.8557702891775677,0.14422971082243222,,23556.08712487005,0.001951854261548471,597.6996105454479,710.4604120238454,0.00026727248429774154,0.02856360044518642,0.0010664261183236916,-9.601020507737497e-05,11526.81103984866,17178.472261916482,312.09097211922216,0.7347354138398914,0.0,391.0,911.0,0.30796460176991153,1.0,0.4694708276797829,346.0,174.0,0.19099890230515917,0.0,0.7347354138398914,0.0,0.0,0.0,0.5305291723202171,0.0,391.0,0.0,911.0,0.30796460176991153,1.0,0.4694708276797829,346.0,174.0,0.0,0.0008120627354501422,0.8731857370431636,0.5575221238938053,0.22123893805309736,60641.940070701254,136688.50947069054,3.377966376010551e-05,9.414068942315632e-05,0.041716865937829625,,,,0.6201975850713501,4.306995680799866,0.0019889980472235923,0.0034689809532201447,0.0008054294014466968,0.8624537595343232,227846.0,0.0,505.0,184.0,1.0,0.19099890230515917,0.005086769133537565,,,,0.0020461904761904758,0.0017352582751758733,70.33256753720082,-0.00041979591836734695,-0.0006748979591836735,10.253896863127864,0.02856360044518642,0.010918575157924014,25.075483487005272,26541.09547224128,0.003836505828537701,-0.0006845778056528912,9834.29706156608,0.0002454221943471088,,,1.620408812711673,0.0735,0.003757274650421777,0.023757274650421777,0.018670505516884213,0.0007728631437169262,0.00028870078210552425,0.0,0.0,27.08199998596683,30.438731214962896,0.0007833868345197256,0.013458873584975913
ulb,M4,ACI-BUDGET-CRC,methods,,,15,127,0.2926423656875068,0.41150829918904497,0.06205507228566663,0.003169964126984986,0.0,0.8622586970823554,0.13774130291764447,,36522.48362141532,0.002571652193358429,550.1238748312912,249.20711890897405,0.00026647125441343016,0.019926201975850714,0.0010531438375387663,-9.464768343881919e-05,11506.166230541177,17349.5010277015,313.9924538096265,0.7634071852962407,6.0,281.0,911.0,0.5026548672566372,0.9793103448275862,0.5475040257648953,340.0,284.0,0.31833150384193193,0.0,0.7677290167345877,0.0,0.0,0.0,0.4415156507413509,7.0,268.0,0.023026315789473683,911.0,0.5256637168141592,0.9769736842105263,0.5584843492586491,339.0,297.0,0.0,0.0008111306206580655,0.8721834630731886,0.46017699115044247,0.25663716814159293,55697.16965363776,126777.64593748089,3.5063904375604915e-05,0.00011072213767549031,0.04103403385550003,,,,0.6201975850713501,4.157702489114255,0.0019659416309132983,0.003363586705576929,0.0008090012968420686,0.853543127454323,227846.0,0.0,491.0,193.0,0.9846322722283205,0.3336992316136114,0.0031731959305846933,,,,0.0007813519680547633,0.0005043796877310853,70.33256753720082,-0.0004216115912557194,-0.0006758057956278597,10.253896863127864,0.019926201975850714,0.008209359720525427,40.843128831555475,11928.749912338597,0.003039364674738958,-0.0006924590241816714,6996.7290009748685,0.00023754097581832865,,,1.6187278551637783,0.0595,0.0012687517007101273,0.021268751700710128,0.018095555770125435,0.0008564922485031935,0.0002774359860791814,0.0,0.0,27.023167931474745,30.73419769643806,0.0007892014931796306,0.013476958138243376
ulb,M4,ACI-BUDGET-CRC,methods,,,16,131,0.35893113869475785,0.3947050716703631,0.05343960394301414,0.002710190536357699,0.0,0.8634477819371732,0.13655221806282677,,24275.6471152377,0.002324167769156506,461.9305892599875,400.62410254986975,0.0002002803925495694,0.0225075,0.0010543620849179515,-0.00013050069338092082,11630.750620243038,18075.86147904754,319.2604225409425,0.7761194029850746,0.0,330.0,911.0,0.34523809523809523,1.0,0.5522388059701493,407.0,174.0,0.19099890230515917,0.0,0.7761194029850746,0.0,0.0,0.0,0.44776119402985076,0.0,330.0,0.0,911.0,0.34523809523809523,1.0,0.5522388059701493,407.0,174.0,0.0,0.0007850184432043885,0.8441058529079446,0.5132743362831859,0.22123893805309736,43398.062681902295,133484.13204884878,3.741400256071201e-05,0.00010829595947663582,0.05581209208265138,,,,0.5532381997804611,4.638601427057952,0.0018218590790341637,0.003335604455573963,0.0007190970183634813,0.9449935058093214,227846.0,0.0,489.0,185.0,1.0,0.19099890230515917,0.003313641670250959,,,,0.0031578896269800717,0.001690646082232827,70.33256753720082,-0.0004226433282597667,-0.0006763216641298834,10.253896863127864,0.0225075,0.009634392241778386,25.075483487005272,11223.471926838174,0.0031019202363367798,-0.0006938390326846779,7498.319537276554,0.00023616096731532212,,,1.7080790043348533,0.046,0.0017910342950940537,0.021791034295094054,0.018477392624843096,0.0008068793927570561,0.0003536728578483741,0.0,0.0,27.08916401024908,29.767835570964962,0.0007760340124790672,0.013483702200687042
ulb,M4,ACI-BUDGET-CRC,methods,,,17,137,0.24071865354237962,0.37358637209760437,0.054400779473855146,0.003280068529394184,0.0,0.8657479525150709,0.13425204748492944,,35915.463749497794,0.0026317713283134734,537.3612755912322,407.4357869100886,0.000266187529114261,0.0191145434298441,0.0010538465530614911,-6.562190472061024e-05,11642.111218895045,18276.10156692636,321.297824775919,0.796780451995176,6.0,227.0,911.0,0.5850091407678245,0.9815950920245399,0.611965811965812,358.0,320.0,0.3578485181119649,0.0,0.7994480721393035,0.0,0.0,0.0,0.3802083333333333,7.0,219.0,0.020895522388059702,911.0,0.5996343692870201,0.9791044776119403,0.6197916666666666,357.0,328.0,0.0,0.0008470245305875227,0.9107790651478739,0.46017699115044247,0.26548672566371684,61183.535382813054,127530.93784660296,3.722213387347967e-05,0.00011277609442876328,0.047452740340473906,,,,0.6004390779363337,3.612509227840653,0.002335995558976668,0.003152622736438185,0.0008726961061142087,0.9010154200013467,227846.0,0.0,493.0,216.0,0.9901207464324918,0.3677277716794731,0.002295410057670532,,,,0.002849697624190065,0.0025463110014128537,74.27447887333835,-0.0004226433282597667,-0.0006763216641298834,10.253896863127864,0.0191145434298441,0.009591040185450215,40.843128831555475,13731.055730437829,0.0031040599132834057,-0.0006609061064131803,11129.580115967332,0.0002690938935868198,,,1.3196009684415513,0.041,0.00039096582779596725,0.020390965827795968,0.018095555770125435,0.0009287342838231974,0.0002244334986194113,0.0,0.0,26.987999910488725,31.760515586938705,0.0007846806022032836,0.013490630165458904
